t,phase,target_waypoint,x_wp,y_wp,yaw_wp,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos,vx_real,vx_ref,vx_cmd_eff,vy_cmd_eff,wz_cmd_eff
12.75,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.3825,0.0,0.36151324505530075,-0.024813684196844495,0.3094766362864573,0.02098675494469926,0.024813684196844495,0.0324986585343086,0.054151477064879286,0.03,0.04739708594888704,0.007585643673561519,0.0
12.752,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38256,0.0,0.36170413090842485,-0.02481665327415653,0.30954701953223557,0.020855869091575163,0.02481665327415653,0.032416562977814666,0.056216049539736246,0.03,0.04736540727906059,0.007587626775553235,0.0
12.754,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38261999999999996,0.0,0.361899342151673,-0.0248147574438637,0.3096199919411404,0.02072065784832694,0.0248147574438637,0.03232828248863867,0.05828552814395645,0.03,0.04733264050114096,0.007588393555852221,0.0
12.756,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38268,0.0,0.3620988716228922,-0.024807918976692246,0.3096955317032623,0.020581128377107794,0.024807918976692246,0.03223376628985696,0.06035948851723712,0.03,0.047298787189755026,0.007587924335008192,0.0
12.758000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38274,0.0,0.36230271087829186,-0.0247960616251504,0.3097736147167574,0.02043728912170817,0.0247960616251504,0.03213296529675634,0.06243749547636429,0.03,0.0472638492403612,0.007586199800203988,0.0
12.76,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.3828,0.0,0.3625108502537205,-0.024779110557184635,0.3098542145766372,0.02028914974627949,0.024779110557184635,0.03202583203340909,0.06451910508826468,0.03,0.04722782885399135,0.007583200988740406,0.0
12.762,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38286,0.0,0.3627232789159015,-0.024756992305366373,0.3099373026419499,0.020136721084098474,0.024756992305366373,0.031912320567873874,0.06660386638837515,0.03,0.0471907285245003,0.007578909275401109,0.0
12.764000000000001,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38292000000000004,0.0,0.36293998491431145,-0.02472963474599376,0.310022848057552,0.019980015085688585,0.02472963474599376,0.03179238647057822,0.06869132302920332,0.03,0.047152551025652106,0.007573306367295255,0.0
12.766,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38298,0.0,0.3631609552168065,-0.02469696706802914,0.3101108178002806,0.019819044783193462,0.02469696706802914,0.03166598677568005,0.07078101444012301,0.03,0.04711329940226749,0.007566374296157502,0.0
12.768,FORWARD,WP1_FORWARD_TARGET,0.54,0.0,0.0,0.38304,0.0,0.36338617573696796,-0.024658919773478,0.31020117670954545,0.019653824263032027,0.024658919773478,0.03153307997257754,0.07287247672215097,0.03,0.04707297696344028,0.00755809541850839,0.0
